AFG7770,Qal eh-ye
GUI2360,Dinguiraye
GUI1050,Dabola
GUI2440,Kerouane
GUI9340,Siguiri
GUI9550,Mamou
GUI7680,Kamsar
GUI8050,Fria
GUI9820,Macenta
GUI930,Yomou
GUI5930,Faranah
GUI5430,Kissidougou
GUI7130,Labe
GUI7620,Boke
GUI9190,Kindia
GUI2940,Kankan
GUI2350,Nzerekore
GUI1530,Conakry
GUI3280,Cacheu
GUI7100,Farim
GUB8360,Fulacunda
GUB900,Gabu
GUB9040,Catio
GUB6330,Bolama
GUB730,Bafata
GUB8050,Bissau
GUB5030,Corriverton
GUB1950,Ituni
GUY1200,Lethem
GUY7630,Kumaka
GUY9810,Bartica
GUY360,Anna Regina
GUY5180,Linden
GUY5320,Mabaruma
GUY3210,New Amsterdam
GUY1720,Georgetown
GUY400,Jeremie
GUY3980,Port-De-Paix
HAI3470,Hinche
HAI5730,Fort-Liberte
HAI5220,Jacmel
HAI820,Les Cayes
HAI2040,Gonaives
HAI8980,Cap-Haitien
HAI2780,Port-au-Prince
HAI2620,Yoro
HAI8480,La Esperanza
HON2720,La Paz
HON3350,Santa Barbara
HON3650,Gracias
HON7760,Nueva Ocotepeque
HON7010,Yuscaran
HON9330,Roatan
HON7280,Nacaome
HON7200,Santa Rosa de Copan
HON3340,Trujillo
HON3760,Brus Laguna
HON520,Puerto Lempira
HON5590,Juticalpa
HON160,Comayagua
HON5390,Choluteca
HON1090,La Ceiba
HON1140,San Pedro Sula
HON4260,Tegucigalpa
HON2230,Hong Kong
HON5320,Veszprem
HKG8750,Zalaegerszeg
HUN5900,Tatabanya
HUN1310,Szekszard
HUN4940,Salgotarjan
HUN6030,Bekescsaba
HUN9820,Eger
HUN4150,Szombathely
HUN4040,Kecskemet
HUN5510,Szekesfehervar
HUN1340,Nyiregyhaza
HUN4150,Pecs
HUN5950,Gyor
HUN2970,Kaposvar
HUN1540,Vac
HUN5870,Miskolc
HUN210,Szeged
HUN8600,Debrecen
HUN6850,Szolnok
HUN9300,Budapest
HUN3140,Borgarnes
HUN8200,Egilsstadir
ICE5280,Saudarkrokur
ICE4900,Selfoss
ICE6180,Hofn
ICE9280,Isafjordur
ICE3100,Akureyi
ICE2250,Keflavik
ICE4370,Reykjavik
ICE7220,Panaji
ICE6570,Simla
IND1260,Gurgaon
IND6510,Sonipat
IND5280,Rohtak
IND8880,Hisar
IND5770,Bhiwani
IND1990,Ambala
IND870,Sopur
IND6570,Silvassa
IND170,Kalyan
IND3680,Bhusawal
IND1950,Jorhat
IND2660,Hoshiarpur
IND5280,Ajmer
IND2780,Hathras
IND6720,Sitapur
IND00,Pilibhit
IND2830,Budaun
IND3820,Firozabad
IND3340,Mathura
IND4210,Bulandshahr
IND9570,Hapur
IND7620,Muzaffarnagar
IND7160,Gangtok
IND6620,Diu
IND2170,Pathankot
IND150,Sirsa
IND3640,Panipat
IND4910,Karnal
IND5370,Baramula
IND8710,Proddatur
IND8560,Nandyal
IND9700,Hindupur
IND5110,Tirupati
IND3610,Ongole
IND1120,Vizianagaram
IND6380,Rajahmundry
IND4890,Machilipatnam
IND1040,Khammam
IND1410,Chirala
IND9690,Karimnagar
IND9560,Nizamabad
IND6490,Kollam
IND3140,Alappuzha
IND1830,Puri
IND5350,Sambalpur
IND3930,Raurkela
IND1090,Kavaratti
IND2640,Mandya
IND2950,Kolar
IND8330,Shimoga
IND3550,Raichur
IND4680,Hospet
IND9330,Bidar
IND1710,Sangli
IND1400,Parbhani
IND7610,Malegaon
IND500,Port Blair
IND750,Tezpur
IND6240,Silchar
IND2890,Kohima
IND2380,Shillong
IND3830,Abohar
IND3430,Patiala
IND9810,Bhilwara
IND110,Pali
IND1920,Tonk
IND8680,Sikar
IND1740,Bikaner
IND2160,Bharatpur
IND4870,Alwar
IND9570,Fatehpur
IND9330,Faizabad
IND4180,Bahraich
IND7260,Mirzapur
IND3930,Jhansi
IND3050,Shahjahanpur
IND5590,Rampur
IND5620,Bareilly
IND2800,Etawah
IND100,Dehra Dun
IND5830,Haora
IND7080,Alipur Duar
IND5570,
IND7100,
