AFG7770,Qal eh-ye
GUI2360,Beyla
GUI1050,Gueckedou
GUI2440,Dinguiraye
GUI9340,Dabola
GUI9550,Kerouane
GUI7680,Siguiri
GUI8050,Mamou
GUI9820,Kamsar
GUI930,Fria
GUI5930,Macenta
GUI5430,Yomou
GUI7130,Faranah
GUI7620,Kissidougou
GUI9190,Labe
GUI2940,Boke
GUI2350,Kindia
GUI1530,Kankan
GUI3280,Nzerekore
GUI7100,Conakry
GUB8360,Cacheu
GUB900,Farim
GUB9040,Fulacunda
GUB6330,Gabu
GUB730,Catio
GUB8050,Bolama
GUB5030,Bafata
GUB1950,Bissau
GUY1200,Corriverton
GUY7630,Ituni
GUY9810,Lethem
GUY360,Kumaka
GUY5180,Bartica
GUY5320,Anna Regina
GUY3210,Linden
GUY1720,Mabaruma
GUY400,New Amsterdam
GUY3980,Georgetown
HAI3470,Jeremie
HAI5730,Port-De-Paix
HAI5220,Hinche
HAI820,Fort-Liberte
HAI2040,Jacmel
HAI8980,Les Cayes
HAI2780,Gonaives
HAI2620,Cap-Haitien
HAI8480,Port-au-Prince
HON2720,Yoro
HON3350,La Esperanza
HON3650,La Paz
HON7760,Santa Barbara
HON7010,Gracias
HON9330,Nueva Ocotepeque
HON7280,Yuscaran
HON7200,Roatan
HON3340,Nacaome
HON3760,Santa Rosa de Copan
HON520,Trujillo
HON5590,Brus Laguna
HON160,Puerto Lempira
HON5390,Juticalpa
HON1090,Comayagua
HON1140,Choluteca
HON4260,La Ceiba
HON2230,San Pedro Sula
HON5320,Tegucigalpa
HKG8750,Hong Kong
HUN5900,Veszprem
HUN1310,Zalaegerszeg
HUN4940,Tatabanya
HUN6030,Szekszard
HUN9820,Salgotarjan
HUN4150,Bekescsaba
HUN4040,Eger
HUN5510,Szombathely
HUN1340,Kecskemet
HUN4150,Szekesfehervar
HUN5950,Nyiregyhaza
HUN2970,Pecs
HUN1540,Gyor
HUN5870,Kaposvar
HUN210,Vac
HUN8600,Miskolc
HUN6850,Szeged
HUN9300,Debrecen
HUN3140,Szolnok
HUN8200,Budapest
ICE5280,Borgarnes
ICE4900,Egilsstadir
ICE6180,Saudarkrokur
ICE9280,Selfoss
ICE3100,Hofn
ICE2250,Isafjordur
ICE4370,Akureyi
ICE7220,Keflavik
ICE6570,Reykjavik
IND1260,Panaji
IND6510,Simla
IND5280,Gurgaon
IND8880,Sonipat
IND5770,Rohtak
IND1990,Hisar
IND870,Bhiwani
IND6570,Ambala
IND170,Sopur
IND3680,Silvassa
IND1950,Kalyan
IND2660,Bhusawal
IND5280,Jorhat
IND2780,Hoshiarpur
IND6720,Ajmer
IND00,Hathras
IND2830,Sitapur
IND3820,Pilibhit
IND3340,Budaun
IND4210,Firozabad
IND9570,Mathura
IND7620,Bulandshahr
IND7160,Hapur
IND6620,Muzaffarnagar
IND2170,Gangtok
IND150,Diu
IND3640,Pathankot
IND4910,Sirsa
IND5370,Panipat
IND8710,Karnal
IND8560,Baramula
IND9700,Proddatur
IND5110,Nandyal
IND3610,Hindupur
IND1120,Tirupati
IND6380,Ongole
IND4890,Vizianagaram
IND1040,Rajahmundry
IND1410,Machilipatnam
IND9690,Khammam
IND9560,Chirala
IND6490,Karimnagar
IND3140,Nizamabad
IND1830,Kollam
IND5350,Alappuzha
IND3930,Puri
IND1090,Sambalpur
IND2640,Raurkela
IND2950,Kavaratti
IND8330,Mandya
IND3550,Kolar
IND4680,Shimoga
IND9330,Raichur
IND1710,Hospet
IND1400,Bidar
IND7610,Sangli
IND500,Parbhani
IND750,Malegaon
IND6240,Port Blair
IND2890,Tezpur
IND2380,Silchar
IND3830,Kohima
IND3430,Shillong
IND9810,Abohar
IND110,Patiala
IND1920,Bhilwara
IND8680,Pali
IND1740,Tonk
IND2160,Sikar
IND4870,Bikaner
IND9570,Bharatpur
IND9330,Alwar
IND4180,Fatehpur
IND7260,Faizabad
IND3930,Bahraich
IND3050,Mirzapur
IND5590,Jhansi
IND5620,Shahjahanpur
IND2800,Rampur
IND100,Bareilly
IND5830,Etawah
IND7080,Dehra Dun
IND5570,Haora
IND7100,Alipur Duar
